"AC Name","AC No.","Type","District","Winning Candidate","Party","Total Electors","Total Votes","Poll%","Margin","Margin %"
Alipurduars,12,GEN,Alipurduar,Paritosh Das,Bharatiya Janata Party,244331,229846,94.1 %,70420,30.6%
Amdanga,102,GEN,North_24_parganas,Mohammad Kasem Siddique,All India Trinamool Congress,221207,211933,95.8 %,2995,1.4%
Amta,181,GEN,Haora,Amit Samanta,Bharatiya Janata Party,256982,235146,91.5 %,4454,1.9%
Arambag,200,SC,Hooghly,Bag Hemanta,Bharatiya Janata Party,253260,234269,92.5 %,28959,12.4%
Asansol Dakshin,280,GEN,Paschim_bardhaman,Agnimitra Paul,Bharatiya Janata Party,239030,212935,89.1 %,40839,19.2%
Asansol Uttar,281,GEN,Paschim_bardhaman,Krishnendu Mukherjee,Bharatiya Janata Party,236858,207852,87.8 %,11615,5.6%
Ashoknagar,101,GEN,North_24_parganas,Dr. Sumay Hira,Bharatiya Janata Party,229506,218596,95.2 %,9408,4.3%
Ausgram,273,SC,Purba_bardhaman,Kalita Maji,Bharatiya Janata Party,236010,223461,94.7 %,12535,5.6%
Baduria,99,GEN,North_24_parganas,Burhanul Mukaddim (LITON),All India Trinamool Congress,236162,225978,95.7 %,40061,17.7%
Bagda,94,SC,North_24_parganas,Soma Thakur,Bharatiya Janata Party,240989,216505,89.8 %,34616,16.0%
Baghmundi,240,GEN,Purulia,Rahidas Mahato,Bharatiya Janata Party,250657,227700,90.8 %,40817,17.9%
Bagnan,180,GEN,Haora,Arunava Sen,All India Trinamool Congress,230578,216358,93.8 %,11316,5.2%
Baharampur,72,GEN,Murshidabad,Subrata Maitra (KANCHAN),Bharatiya Janata Party,240830,222909,92.6 %,17548,7.9%
Baisnab Nagar,54,GEN,Malda,Raju Karmakar,Bharatiya Janata Party,233865,223050,95.4 %,46881,21.0%
Balagarh,191,SC,Hooghly,Sumana Sarkar,Bharatiya Janata Party,240088,224684,93.6 %,41914,18.7%
Balarampur,239,GEN,Purulia,Jaladhar Mahato,Bharatiya Janata Party,235388,217572,92.4 %,35051,16.1%
Bally,169,GEN,Haora,Sanjay Kumar Singh,Bharatiya Janata Party,133573,116914,87.5 %,11997,10.3%
Ballygunge,161,GEN,Kolkata_south,Sobhandeb Chattopadhyay,All India Trinamool Congress,188839,166565,88.2 %,61476,36.9%
Balurghat,39,GEN,Dakshin Dinajpur,Bidyut Kumar Roy,Bharatiya Janata Party,166912,156852,94.0 %,47576,30.3%
Bandwan,238,ST,Purulia,Labsen Baskey,Bharatiya Janata Party,285966,263398,92.1 %,29577,11.2%
Bangaon Dakshin,96,SC,North_24_parganas,Swapan Majumder,Bharatiya Janata Party,228359,211259,92.5 %,37814,17.9%
Bangaon Uttar,95,SC,North_24_parganas,Ashok Kirtania,Bharatiya Janata Party,225962,209844,92.9 %,40670,19.4%
Bankura,252,GEN,Bankura,Niladri Sekhar Dana,Bharatiya Janata Party,260886,235798,90.4 %,54177,23.0%
Barabani,283,GEN,Paschim_bardhaman,Arijit Roy,Bharatiya Janata Party,201898,182509,90.4 %,11722,6.4%
Baranagar,113,GEN,North_24_parganas,Sajal Ghosh,Bharatiya Janata Party,186541,168150,90.1 %,16956,10.1%
Barasat,119,GEN,North_24_parganas,Sankar Chatterjee,Bharatiya Janata Party,252439,235060,93.1 %,34558,14.7%
Bardhaman Dakshin,260,GEN,Purba_bardhaman,Moumita Biswas Misra,Bharatiya Janata Party,221961,202459,91.2 %,30470,15.0%
Bardhaman Uttar,266,SC,Purba_bardhaman,Nisith Kumar Malik,All India Trinamool Congress,260360,244161,93.8 %,6460,2.6%
Barjora,253,GEN,Bankura,Billeswar Sinha,Bharatiya Janata Party,251402,232676,92.6 %,41310,17.8%
Barrackpur,108,GEN,North_24_parganas,Kaustuv Bagchi,Bharatiya Janata Party,170646,153721,90.1 %,15822,10.3%
Baruipur Paschim,140,GEN,South_24_parganas,Biman Banerjee,All India Trinamool Congress,233097,219921,94.3 %,17862,8.1%
Baruipur Purba,137,SC,South_24_parganas,Bivas Sardar,All India Trinamool Congress,245106,235636,96.1 %,31815,13.5%
Basanti,128,SC,South_24_parganas,Nilima Mistry Bishal,All India Trinamool Congress,240303,230458,95.9 %,56181,24.4%
Basirhat-Dakshin,124,GEN,North_24_parganas,Surajit Mitra (BADAL),All India Trinamool Congress,260361,249208,95.7 %,9544,3.8%
Basirhat-Uttar,125,GEN,North_24_parganas,Md. Tauseffur Rahman,All India Trinamool Congress,245388,236879,96.5 %,57270,24.2%
Behala Paschim,154,GEN,South_24_parganas,Dr. Indranil Khan,Bharatiya Janata Party,266173,237312,89.2 %,24699,10.4%
Behala Purba,153,GEN,South_24_parganas,Sankar Sikder,Bharatiya Janata Party,259752,233052,89.7 %,25137,10.8%
Beldanga,71,GEN,Murshidabad,Bharat Kumar Jhawar,Bharatiya Janata Party,243984,226812,93.0 %,13208,5.8%
Beleghata,164,GEN,Kolkata_north,Kunal Kumar Ghosh,All India Trinamool Congress,190599,172540,90.5 %,28576,16.6%
Bhabanipur,159,GEN,Kolkata_south,Adhikari Suvendu,Bharatiya Janata Party,160313,138584,86.4 %,15105,10.9%
Bhagabangola,62,GEN,Murshidabad,Reyat Hossain Sarkar,All India Trinamool Congress,224618,217131,96.7 %,56407,26.0%
Bhagabanpur,214,GEN,Purbo_medinipur,Santanu Pramanik,Bharatiya Janata Party,263775,246952,93.6 %,20878,8.5%
Bhangar,148,GEN,South_24_parganas,Md Nawsad Siddique,All India Secular Front,272711,265799,97.5 %,32088,12.1%
Bharatpur,69,GEN,Murshidabad,Mustafijur Rahaman (SUMAN),All India Trinamool Congress,239184,212804,89.0 %,30753,14.5%
Bhatar,267,GEN,Purba_bardhaman,Karfa Soumen,Bharatiya Janata Party,226642,211442,93.3 %,6528,3.1%
Bhatpara,105,GEN,North_24_parganas,Pawan Kumar Singh,Bharatiya Janata Party,117195,105375,89.9 %,22807,21.6%
Bidhan Nagar,116,GEN,North_24_parganas,Sharadwat Mukherjee,Bharatiya Janata Party,203877,176102,86.4 %,37330,21.2%
Bijpur,103,GEN,North_24_parganas,Sudipta Das,Bharatiya Janata Party,158096,144155,91.2 %,13343,9.3%
