year,ac_number,constituency_name,position,candidate,sex,age,category,party,votes_general,votes_postal,votes,vote_share_pct,total_electors,turnout_pct,margin
2011,1,Mekliganj,1,ADHIKARY PARESH CHANDRA,M,58,SC,AIFB,71622,418,72040,48.89,170181,86.59,32632
2011,1,Mekliganj,2,JAYANTA KUMAR RAY,M,48,SC,INC,39343,65,39408,26.74,170181,86.59,32632
2011,1,Mekliganj,3,SUNIL CHANDRA RAY,M,60,SC,IND,23503,37,23540,15.97,170181,86.59,32632
2011,1,Mekliganj,4,SUBHASH BARMAN,M,34,SC,BJP,3708,5,3713,2.52,170181,86.59,32632
2011,1,Mekliganj,5,JYOTISH ROY,M,61,SC,BSP,3358,1,3359,2.28,170181,86.59,32632
2011,1,Mekliganj,6,PRAMILA ROY,F,44,SC,SUCI,2589,4,2593,1.76,170181,86.59,32632
2011,1,Mekliganj,7,PURNENDU ROY,M,32,SC,IND,1473,1,1474,1,170181,86.59,32632
2011,1,Mekliganj,8,RATAN BARMAN,M,46,SC,AMB,1229,1,1230,0.83,170181,86.59,32632
2011,2,Mathabhanga,1,BINAY KRISHNA BARMAN,M,50,SC,AITC,77902,347,78249,46.46,194088,86.78,5324
2011,2,Mathabhanga,2,ANANTA ROY,M,57,SC,CPM,72298,627,72925,43.3,194088,86.78,5324
2011,2,Mathabhanga,3,SUSHIL BARMAN,M,42,SC,BJP,11300,8,11308,6.71,194088,86.78,5324
2011,2,Mathabhanga,4,MANTU BARMAN,M,41,SC,IND,2918,1,2919,1.73,194088,86.78,5324
2011,2,Mathabhanga,5,TILAK CHAND BARMAN,M,29,SC,BSP,1951,3,1954,1.16,194088,86.78,5324
2011,2,Mathabhanga,6,HARE KRISHNA SARKAR,M,39,SC,RPI,1078,1,1079,0.64,194088,86.78,5324
2011,3,Cooch behar Uttar,1,NAGENDRA NATH ROY,M,54,SC,AIFB,84120,705,84825,45.11,218743,85.96,2197
2011,3,Cooch behar Uttar,2,PRASENJIT BARMAN,M,77,SC,AITC,82234,394,82628,43.94,218743,85.96,2197
2011,3,Cooch behar Uttar,3,MALATI RAVA(RAY),F,46,SC,BJP,12596,12,12608,6.71,218743,85.96,2197
2011,3,Cooch behar Uttar,4,NIRMAL KUMAR ROY,M,51,SC,IND,4744,1,4745,2.52,218743,85.96,2197
2011,3,Cooch behar Uttar,5,RATAN BARMAN,M,28,SC,IND,1883,0,1883,1,218743,85.96,2197
2011,3,Cooch behar Uttar,6,KULEN DAS,M,47,SC,IND,1343,0,1343,0.71,218743,85.96,2197
2011,4,Cooch behar Dakshin,1,AKSHAY THAKUR,M,58,GEN,AIFB,71060,968,72028,47.04,182901,83.71,2863
2011,4,Cooch behar Dakshin,2,ABDUL JALIL AHMED,M,57,GEN,AITC,68719,446,69165,45.17,182901,83.71,2863
2011,4,Cooch behar Dakshin,3,GAYETRI KAR,F,51,GEN,BJP,6410,9,6419,4.19,182901,83.71,2863
2011,4,Cooch behar Dakshin,4,SANAT SEN,M,33,GEN,IND,2207,0,2207,1.44,182901,83.71,2863
2011,4,Cooch behar Dakshin,5,SHYAMAL CHANDRA BARMAN,M,33,SC,IND,1277,0,1277,0.83,182901,83.71,2863
2011,4,Cooch behar Dakshin,6,PRAHLAD CHANDRA DATTA,M,63,GEN,IND,745,0,745,0.49,182901,83.71,2863
2011,4,Cooch behar Dakshin,7,KRISHNA KANTA BARMAN,M,31,SC,IND,684,1,685,0.45,182901,83.71,2863
2011,4,Cooch behar Dakshin,8,CHANCHAL SARKAR,M,36,GEN,PDCI,589,0,589,0.38,182901,83.71,2863
2011,5,Sitalkuchi,1,HITEN BARMAN,M,60,SC,AITC,84525,126,84651,44.22,216535,88.42,257
2011,5,Sitalkuchi,2,BISWANATH PRAMANIK,M,57,SC,CPM,84062,332,84394,44.08,216535,88.42,257
2011,5,Sitalkuchi,3,BHABENDRA NATH BARMAN,M,63,SC,BJP,8822,7,8829,4.61,216535,88.42,257
2011,5,Sitalkuchi,4,SUBAL BARMAN,M,30,SC,JMM,6000,0,6000,3.13,216535,88.42,257
2011,5,Sitalkuchi,5,DWIJENDRA NATH BARMAN,M,33,SC,IND,3544,3,3547,1.85,216535,88.42,257
2011,5,Sitalkuchi,6,GOUTAM BARMAN,M,36,SC,BSP,2368,1,2369,1.24,216535,88.42,257
2011,5,Sitalkuchi,7,SUBODH BARMAN,M,54,SC,AMB,1662,1,1663,0.87,216535,88.42,257
2011,6,Sitai,1,KESHAB CH. RAY,M,58,SC,INC,79624,167,79791,46.67,209580,81.57,1577
2011,6,Sitai,2,DIPAK KUMAR ROY,M,45,SC,AIFB,77903,311,78214,45.75,209580,81.57,1577
2011,6,Sitai,3,BROJO GOBINDA BARMAN,M,54,SC,BJP,5182,3,5185,3.03,209580,81.57,1577
2011,6,Sitai,4,BHAJAN BISWAS,M,28,SC,IND,2904,0,2904,1.7,209580,81.57,1577
2011,6,Sitai,5,ANIL CHANDRA BARMAN ROY,M,52,SC,SUCI,2035,0,2035,1.19,209580,81.57,1577
2011,6,Sitai,6,GOUTAM BARMAN,M,41,SC,IND,1613,0,1613,0.94,209580,81.57,1577
2011,6,Sitai,7,TAPAS BARMAN,M,29,SC,IND,1220,0,1220,0.71,209580,81.57,1577
2011,7,Dinhata,1,UDAYAN GUHA,M,56,GEN,AIFB,92220,830,93050,50.52,222013,82.96,30026
2011,7,Dinhata,2,DR. MD. FAZLE HAQUE,M,74,GEN,IND,62767,257,63024,34.22,222013,82.96,30026
2011,7,Dinhata,3,AMIYA KUMAR SARKAR,M,47,GEN,NCP,13052,41,13093,7.11,222013,82.96,30026
2011,7,Dinhata,4,NIRANJAN BARMAN,M,43,SC,BSP,4135,0,4135,2.25,222013,82.96,30026
2011,7,Dinhata,5,SUDHANGSHU KUMAR ROY,M,49,SC,BJP,3958,6,3964,2.15,222013,82.96,30026
2011,7,Dinhata,6,CHAYAN ROY,M,27,SC,IND,2610,0,2610,1.42,222013,82.96,30026
2011,7,Dinhata,7,MAYAMANA KHATUN,F,29,GEN,,1903,0,1903,1.03,222013,82.96,30026
2011,7,Dinhata,8,GOUTAM BARMAN,M,42,SC,IND,1753,0,1753,0.95,222013,82.96,30026
2011,7,Dinhata,9,NARAYAN BARMAN,M,28,SC,JD(U),652,0,652,0.35,222013,82.96,30026
2011,8,Natabari,1,RABINDRA NATH GHOSH,M,56,GEN,AITC,81532,419,81951,47.56,193375,89.1,7565
2011,8,Natabari,2,TAMSER ALI,M,57,GEN,CPM,73726,660,74386,43.17,193375,89.1,7565
2011,8,Natabari,3,UTPAL DEB,M,50,GEN,BJP,9916,7,9923,5.76,193375,89.1,7565
2011,8,Natabari,4,SIDDIK UDDIN BEPARI,M,45,GEN,IND,2972,0,2972,1.72,193375,89.1,7565
2011,8,Natabari,5,GIRINDRA NATH BARMAN,M,68,SC,RPI,1867,0,1867,1.08,193375,89.1,7565
2011,8,Natabari,6,PRODYUT KUMAR DEY,M,47,GEN,IND,1197,0,1197,0.69,193375,89.1,7565
2011,9,Tufanganj,1,ARGHYA ROY PRADHAN,M,40,SC,AITC,73386,335,73721,45.02,183248,89.37,6182
2011,9,Tufanganj,2,DHANANJOY RAVA,M,48,ST,CPM,66855,684,67539,41.24,183248,89.37,6182
2011,9,Tufanganj,3,BIMAL KUMAR SARKAR,M,48,SC,BJP,17210,10,17220,10.52,183248,89.37,6182
2011,9,Tufanganj,4,SIBEN BARMAN,M,27,SC,IND,2817,0,2817,1.72,183248,89.37,6182
2011,9,Tufanganj,5,GANESH DAKUA,M,40,SC,IND,2463,0,2463,1.5,183248,89.37,6182
